Designator,Footprint,Quantity,Value,LCSC Part #
AVRISP1,PinHeader_2x03_P2.54mm_Vertical,1,AVR-ISP-6,
"C10, C14, C16, C17, C19, C4, C5, C8, C9",CP_EIA-3216-18_Kemet-A_HandSolder,9,0.1u,
"C11, C12",1206,2,22p,
"C13, C15, C18",CP_EIA-3216-18_Kemet-A_HandSolder,3,1u,
C3,CP_Radial_D4.0mm_P1.50mm_Bend,1,4.7u,
"D1, D10, D11, D12, D13, D14, D15, D16, D17, D18, D19, D2, D20, D21, D22, D23, D24, D25, D26, D27, D28, D3, D30, D31, D32, D34, D35, D36, D37, D38, D39, D4, D40, D41, D42, D43, D44, D45, D47, D48, D49, D5, D51, D52, D53, D54, D55, D56, D57, D58, D59, D6, D60, D61, D62, D65, D66, D67, D68, D69, D7, D70, D71, D72, D73, D74, D76, D8, D9, D92, D93, D94, DBKSP1, DCAPS1, DENTER1, DFN1, DLALT1, DLCTL1, DLSH1, DLWIN1, DPIPE1, DRALT1, DRCTL1, DRSH1, DRWIN1, DSPC1, DTAB1",D_SOD-123,87,D_Small,
D29,D_SOD-123,1,SMAJ18CA,
"DL1, DL12, DL13, DL4, DL5, DL6, DL7, DL8, DL9",LED_Kingbright_KPA-3010_3x2x1mm,9,LED,
F1,1206,1,500mA,
J1,JST_EH_B4B-EH-A_1x04_P2.50mm_Vertical,1,Screw_Terminal_01x04,
"Q1, Q2",SOT-23,2,2N7002,
"R1, R2",1206,2,5.1k,
"R14, R15, R16, R18, R19, R20, R23, R24",1206,8,270,
"R17, R25, R26, R27, R28",1206,5,10k,
"R3, R4",1206,2,22,
"R5, RL1",1206,2,1k,
R6,1206,1,0,
RSH1,1206,1,1M,
SW-RESET1,SW_PUSH_6mm_H4.3mm,1,SW_Push,
"SW1, SW10, SW11, SW12, SW13, SW14, SW15, SW16, SW17, SW18, SW19, SW2, SW20, SW21, SW22, SW23, SW24, SW25, SW26, SW27, SW28, SW3, SW30, SW31, SW32, SW34, SW35, SW36, SW37, SW38, SW39, SW4, SW40, SW41, SW42, SW43, SW44, SW45, SW47, SW48, SW49, SW5, SW51, SW52, SW53, SW54, SW55, SW56, SW57, SW58, SW59, SW6, SW60, SW61, SW62, SW65, SW66, SW67, SW68, SW69, SW7, SW70, SW71, SW72, SW73, SW74, SW76, SW8, SW9, SW92, SW93, SW94",SW_CN_Cherry_MX_PCB_1.00u,72,KEYSW,
SWBKSP1,SW_CN_S_Cherry_MX_2.00u_PCB,1,KEYSW,
SWCAPS1,SW_CN_Cherry_MX_PCB_1.75u,1,KEYSW,
"SWENTER1, SWLSH1",SW_CN_S_Cherry_MX_2.25u_PCB,2,KEYSW,
"SWFN1, SWLALT1, SWLCTL1, SWLWIN1, SWRALT1, SWRCTL1, SWRWIN1",SW_CN_Cherry_MX_PCB_1.25u,7,KEYSW,
"SWPIPE1, SWTAB1",SW_CN_Cherry_MX_PCB_1.50u,2,KEYSW,
SWRSH1,SW_CN_S_Cherry_MX_2.75u_PCB,1,KEYSW,
SWSPC1,SW_CN_S_Cherry_MX_6.25u_PCB,1,KEYSW,
U1,TQFP-44_10x10mm_P0.8mm,1,ATmega32U4-A,
U2,SOT-23-6,1,USBLC6-2SC6,
U3,SOIC-16W_7.5x10.3mm_P1.27mm,1,PCF8574T,
USB1,USB_C_Receptacle_GCT_USB4085,1,USB_C_GCT_USB4085,
Y3,Crystal_HC49-4H_Vertical,1,Crystal,
